model,accuracy,macro_precision,macro_recall,macro_f1,macro_roc_auc,log_loss,random_seed,model_key
XGBoost (Baseline),0.6787396087953007,0.6298401653259335,0.4715734961317509,0.4841685976496228,0.8515790909346237,0.8298124175404223,42,xgboost
"XGBoost (Tuned: {'classifier__learning_rate': 0.2, 'classifier__max_depth': 8, 'classifier__n_estimators': 400, 'classifier__subsample': 0.8})",0.6871287883324533,0.6364249495885281,0.4877459419855673,0.5067155595353978,0.8573326416934244,0.812061883013254,42,xgboost
Decision Tree (Baseline),0.5668766229877674,0.4235936345536666,0.4277985698932872,0.4255027239805827,0.6528888998147252,15.592366075707249,42,decision_tree
"Decision Tree (Tuned: {'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 50})",0.6478068909951059,0.5283540561363764,0.4527513227822372,0.4649708666947095,0.7825936053320641,2.997937446898708,42,decision_tree
Multinomial Logistic Regression (Baseline),0.6467289821382881,0.43324516758568565,0.41569672699954807,0.4031175695518008,0.8083845741129145,0.9156338928898847,42,logistic_regression
"Multinomial Logistic Regression (Tuned: {'classifier__C': 10, 'classifier__penalty': 'l2'})",0.6465765505827785,0.43644806948675774,0.4156163667590915,0.40308355229509296,0.8084632532301164,0.9155527275946905,42,logistic_regression
